protocol=H-20260910-11
source_revision=8dfbfb8f15eb2ff3d84629385cde99cd9f2bc9aa
source_sha256=d0bf0974df7b4d7c1f8f47369e80f939bf5f801e92fc2ffc36a2beebe199779b
INDEPENDENT=all binary words through length15 agree with the gap generator
NEGATIVE_CONTROL={"newest_first": "ASAASAS", "lag": 7, "P2": true, "no_SS": true, "clean": false}
HOLDOUT={"S_count": 162, "length": 325, "words": 13366, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 163, "length": 327, "words": 13530, "P2_no_SAAS": 0, "P2_with_SAAS": 41, "violations": 0}
HOLDOUT={"S_count": 164, "length": 329, "words": 13695, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 165, "length": 331, "words": 13861, "P2_no_SAAS": 1, "P2_with_SAAS": 41, "violations": 0}
HOLDOUT={"S_count": 166, "length": 333, "words": 14028, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 167, "length": 335, "words": 14196, "P2_no_SAAS": 0, "P2_with_SAAS": 42, "violations": 0}
HOLDOUT={"S_count": 168, "length": 337, "words": 14365, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 169, "length": 339, "words": 14535, "P2_no_SAAS": 1, "P2_with_SAAS": 42, "violations": 0}
HOLDOUT={"S_count": 170, "length": 341, "words": 14706, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 171, "length": 343, "words": 14878, "P2_no_SAAS": 0, "P2_with_SAAS": 43, "violations": 0}
HOLDOUT={"S_count": 172, "length": 345, "words": 15051, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 173, "length": 347, "words": 15225, "P2_no_SAAS": 1, "P2_with_SAAS": 43, "violations": 0}
HOLDOUT={"S_count": 174, "length": 349, "words": 15400, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 175, "length": 351, "words": 15576, "P2_no_SAAS": 0, "P2_with_SAAS": 44, "violations": 0}
HOLDOUT={"S_count": 176, "length": 353, "words": 15753, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 177, "length": 355, "words": 15931, "P2_no_SAAS": 1, "P2_with_SAAS": 44, "violations": 0}
HOLDOUT={"S_count": 178, "length": 357, "words": 16110, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 179, "length": 359, "words": 16290, "P2_no_SAAS": 0, "P2_with_SAAS": 45, "violations": 0}
HOLDOUT={"S_count": 180, "length": 361, "words": 16471, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 181, "length": 363, "words": 16653, "P2_no_SAAS": 1, "P2_with_SAAS": 45, "violations": 0}
HOLDOUT={"S_count": 182, "length": 365, "words": 16836, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 183, "length": 367, "words": 17020, "P2_no_SAAS": 0, "P2_with_SAAS": 46, "violations": 0}
HOLDOUT={"S_count": 184, "length": 369, "words": 17205, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 185, "length": 371, "words": 17391, "P2_no_SAAS": 1, "P2_with_SAAS": 46, "violations": 0}
HOLDOUT={"S_count": 186, "length": 373, "words": 17578, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
