i	value	birth	sign	arc	q	r
541	39375733460	11684555276	S	40	3	4322067632
542	39375733457	11684555282	S	40	3	4322067611
543	39375733454	11684555288	S	40	3	4322067590
544	39375733451	11684555294	S	40	3	4322067569
545	39375733448	11684555300	S	40	3	4322067548
546	39375733445	11684555306	S	40	3	4322067527
547	39375733442	11684555312	S	40	3	4322067506
548	39375733439	11684555318	S	40	3	4322067485
549	39375733436	11684555324	S	40	3	4322067464
550	39375733433	11684555330	S	40	3	4322067443
551	39375733430	11684555336	S	40	3	4322067422
552	39375733427	11684555342	S	40	3	4322067401
553	39375733424	11684555348	S	40	3	4322067380
554	39375733421	11684555354	S	40	3	4322067359
555	39375733418	11684555360	S	40	3	4322067338
556	39375733415	11684555366	S	40	3	4322067317
557	39375733412	11684555372	S	40	3	4322067296
558	39375733409	11684555378	S	40	3	4322067275
559	39375733406	11684555384	S	40	3	4322067254
560	39375733403	11684555390	S	40	3	4322067233
561	39375733400	11684555396	S	40	3	4322067212
562	39375733397	11684555402	S	40	3	4322067191
563	39375733394	11684555408	S	40	3	4322067170
564	39375733391	11684555414	S	40	3	4322067149
565	39375733388	11684555420	S	40	3	4322067128
566	39375733385	11684555426	S	40	3	4322067107
567	39375733382	11684555432	S	40	3	4322067086
568	39375733379	11684555438	S	40	3	4322067065
569	39375733376	11684555444	S	40	3	4322067044
570	39375733373	11684555450	S	40	3	4322067023
571	39375733370	11684555456	S	40	3	4322067002
572	39375733367	11684555462	S	40	3	4322066981
573	39375733364	11684555468	S	40	3	4322066960
574	39375733361	11684555474	S	40	3	4322066939
575	39375733358	11684555480	S	40	3	4322066918
576	39375733355	11684555486	S	40	3	4322066897
577	39375733352	11684555492	S	40	3	4322066876
578	39375733349	11684555498	S	40	3	4322066855
579	39375733346	11684555504	S	40	3	4322066834
580	39375733343	11684555510	S	40	3	4322066813
581	39375733340	11684555516	S	40	3	4322066792
582	39375733337	11684555522	S	40	3	4322066771
583	39375733334	11684555528	S	40	3	4322066750
584	39375733331	11684555534	S	40	3	4322066729
585	39375733328	11684555540	S	40	3	4322066708
586	39375733325	11684555546	S	40	3	4322066687
587	39375733322	11684555552	S	40	3	4322066666
588	39375733319	11684555558	S	40	3	4322066645
589	39375733316	11684555564	S	40	3	4322066624
590	39375733313	11684555570	S	40	3	4322066603
591	39375733310	11684555576	S	40	3	4322066582
592	39375733307	11684555582	S	40	3	4322066561
593	39375733304	11684555588	S	40	3	4322066540
594	39375733301	11684555594	S	40	3	4322066519
595	39375733298	11684555600	S	40	3	4322066498
596	39375733295	11684555606	S	40	3	4322066477
597	39375733292	11684555612	S	40	3	4322066456
598	39375733289	11684555618	S	40	3	4322066435
599	39375733286	11684555624	S	40	3	4322066414
600	39375733283	11684555630	S	40	3	4322066393
601	39375733280	11684555636	S	40	3	4322066372
602	39375733277	11684555642	S	40	3	4322066351
603	39375733274	11684555648	S	40	3	4322066330
